class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Sorceress	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Necromancer	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Paladin	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Barbarian	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	3	4	118	205	139	253	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	6	8	74	244	82	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	20	75	4	116	55	112	136	191	64	147	55	83	251	307	4	116	56	112	136	191	3	59	55	56	208	233	32	58	25	26	93	118	121	147	25	26	208	233	122	148	25	26	136	191	154	178	55	24	251	306	122	178	55	56	20	75	121	178	55	57
Druid	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Assassin	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Amazon2	400	720	60	501	10	4	419	706	315	428	29	29	420	475	107	219	55	112	533	589	137	219	56	82	651	706	107	219	55	112	535	589	68	119	54	51	609	632	95	119	23	24	495	518	240	264	23	24	609	632	240	264	23	24	536	588	239	264	52	25	652	706	242	294	54	52	421	475	241	294	54	53
Sorceress2	400	720	60	501	10	4	419	706	315	428	29	29	420	475	107	219	55	112	533	589	137	219	56	82	651	706	107	219	55	112	535	589	68	119	54	51	609	632	95	119	23	24	495	518	240	264	23	24	609	632	240	264	23	24	536	588	239	264	52	25	652	706	242	294	54	52	421	475	241	294	54	53
Necromancer2	400	720	60	501	10	4	419	706	315	428	29	29	420	475	107	219	55	112	533	589	137	219	56	82	651	706	107	219	55	112	535	589	68	119	54	51	609	632	95	119	23	24	495	518	240	264	23	24	609	632	240	264	23	24	536	588	239	264	52	25	652	706	242	294	54	52	421	475	241	294	54	53
Paladin2	400	720	60	501	10	4	419	706	315	428	29	29	420	475	107	219	55	112	533	589	137	219	56	82	651	706	107	219	55	112	535	589	68	119	54	51	609	632	95	119	23	24	495	518	240	264	23	24	609	632	240	264	23	24	536	588	239	264	52	25	652	706	242	294	54	52	421	475	241	294	54	53
Barbarian2	400	720	60	501	10	4	419	706	315	428	29	29	420	475	107	219	55	112	533	589	137	219	56	82	651	706	107	219	55	112	535	589	68	119	54	51	609	632	95	119	23	24	495	518	240	264	23	24	609	632	240	264	23	24	536	588	239	264	52	25	652	706	242	294	54	52	421	475	241	294	54	53
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	3	4	198	285	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	6	8	154	324	142	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	64	176	55	112	216	271	124	207	55	83	331	387	64	176	56	112	216	271	63	119	55	56	288	313	92	118	25	26	173	198	181	207	25	26	288	313	182	208	25	26	216	271	214	238	55	24	331	386	182	238	55	56	100	155	181	238	55	57
Druid2	400	720	60	501	10	4	419	706	315	428	29	29	420	475	107	219	55	112	533	589	137	219	56	82	651	706	107	219	55	112	535	589	68	119	54	51	609	632	95	119	23	24	495	518	240	264	23	24	609	632	240	264	23	24	536	588	239	264	52	25	652	706	242	294	54	52	421	475	241	294	54	53
Assassin2	400	720	60	501	10	4	419	706	315	428	29	29	420	475	107	219	55	112	533	589	137	219	56	82	651	706	107	219	55	112	535	589	68	119	54	51	609	632	95	119	23	24	495	518	240	264	23	24	609	632	240	264	23	24	536	588	239	264	52	25	652	706	242	294	54	52	421	475	241	294	54	53
