Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Null	0																				1	1																																			25	50																																																																																																								0	0	255																				1
Act 1 - Town	1						56	40	56	40	56	40	-1	-1		1	1				1	1			2	1	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1					1	1			2025		25	50																																																																																												chicken				30								0	1	0	Rogue Encampment	To The Rogue Encampment	A1L1																	1
Act 1 - Wilderness 1	2						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6		4	5				8	8	8	8		-1	-1	-1		1	2	3	-1							1		2025	1	26	51	1	36	67	10000	10000	10000	99	99	99	99	99	99	1		13	zombie1	fallen1	quillrat1																								zombie1	fallen1	quillrat1																							zombie1	fallen1	quillrat1																																			0	2	255	Blood Moor	To The Blood Moor	A1L2	4	38	33	34					3	17	17	17					1
Act 1 - Wilderness 2	3						80	80	80	80	80	80	1000	1000		1	1				1	1	1		3	2	6	1	4	5				9	9	9	9		-1	-1	-1		1	2	3	-1					1		1		2025	2	27	52	2	36	68	10000	10000	10000	99	99	99	99	99	99	1		13	brute1	corruptrogue1	fallenshaman1	cr_lancer1																							brute1	corruptrogue1	fallenshaman1	cr_lancer1																						brute1	corruptrogue1	fallenshaman1	cr_lancer1																																		0	2	1	Cold Plains	To The Cold Plains	A1L3	4	38	33	34					3	22	22	22					1
Act 1 - Wilderness 3	4						80	80	80	80	80	80	1000	1000		1	1				1	1	1		3	2	6	2	4	5				10	10	10	10		-1	-1	-1		1	2	3	-1							1		2025	4	29	54	4	37	68	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton1	zombie2	crownest1	goatman1	cr_archer1																						skeleton1	zombie2	crownest1	goatman1	cr_archer1																					skeleton1	zombie2	foulcrow1	goatman1	cr_archer1																																	0	2	2	Stony Field	To The Stony Field	A1L4	1	38	33	34					4	27	27	27					1
Act 1 - Wilderness 4	5						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	3	4	5				10	10	10	10		-1	-1	-1		1	2	3	-1					1		1		2025	5	30	55	5	38	68	10000	10000	10000	99	99	99	99	99	99	1		13	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1																						fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1																					fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1																																	0	2	3	Dark Wood	To The Dark Wood	A1L5	1	38	33	34					4	30	30	30					1
Act 1 - Wilderness 5	6						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	4	4	5			20	11	11	11	11		-1	-1	10		1	2	3	-1							1		2025	6	31	56	6	38	69	10000	10000	10000	99	99	99	99	99	99	1		13	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																					crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																				skeleton2	foulcrow2	brute2	goatman2	fallenshaman2	cr_archer2																																0	2	4	Black Marsh	To The Black Marsh	A1L6	1	38	33	34					5	32	32	32					1
Act 1 - Wilderness 6	7						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	2	4	5				12	12	12	12		-1	-1	-1		1	2	3	-1					1		1		2025	8	33	58	8	39	69	10000	10000	10000	99	99	99	99	99	99	1		13	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1																						corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1																					corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1																																	0	2	255	Tamoe Highland	To The Tamoe Highland	A1L7	1	38	33	34					5	35	35	35					1
Act 1 - Cave 1	8					1	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	3	-1	-1	-1	-1	2								4	-1	-1	-1	-1	-1	-1	-1		255	255	255			1	1	2025	1	26	51	1	36	79	10000	10000	10000	99	99	99	99	99	99			13	zombie1	brute1	fallenshaman1																								zombie1	brute1	fallenshaman1																							zombie1	brute1	fallenshaman1																							rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	A1L9	6	4							35	45							1
Act 1 - Cave 2	9					2	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	3	-1	-1	-1	-1	3				13				4	-1	-1	-1	5	-1	-1	-1		255	255	255			1		2025	2	27	52	2	36	77	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton1	zombie2	cr_archer1																								skeleton1	zombie2	cr_archer1																							skeleton1	zombie2	cr_archer1																							rat	bat			30	30							0	4	255	Cave Level 1	To The Cave Level 1	A1L9	6	4							30	3							1
