class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	6	339	628	212	385	29	29	340	395	28	140	55	112	453	509	77	159	56	82	562	617	28	140	55	112	456	510	8	59	54	51	526	549	36	60	23	24	416	439	180	204	23	24	530	553	180	204	23	24	457	509	179	204	52	25	572	628	155	205	54	52	341	395	153	206	54	53
Sorceress	320	640	0	441	10	6	339	628	212	385	29	29	340	395	28	140	55	112	453	509	77	159	56	82	562	617	28	140	55	112	456	510	8	59	54	51	526	549	36	60	23	24	416	439	180	204	23	24	530	553	180	204	23	24	457	509	179	204	52	25	572	628	155	205	54	52	341	395	153	206	54	53
Necromancer	320	640	0	441	10	6	339	628	212	385	29	29	340	395	28	140	55	112	453	509	77	159	56	82	562	617	28	140	55	112	456	510	8	59	54	51	526	549	36	60	23	24	416	439	180	204	23	24	530	553	180	204	23	24	457	509	179	204	52	25	572	628	155	205	54	52	341	395	153	206	54	53
Paladin	320	640	0	441	10	6	339	628	212	385	29	29	340	395	28	140	55	112	453	509	77	159	56	82	562	617	28	140	55	112	456	510	8	59	54	51	526	549	36	60	23	24	416	439	180	204	23	24	530	553	180	204	23	24	457	509	179	204	52	25	572	628	155	205	54	52	341	395	153	206	54	53
Barbarian	320	640	0	441	10	6	339	628	212	385	29	29	340	395	28	140	55	112	453	509	77	159	56	82	562	617	28	140	55	112	456	510	8	59	54	51	526	549	36	60	23	24	416	439	180	204	23	24	530	553	180	204	23	24	457	509	179	204	52	25	572	628	155	205	54	52	341	395	153	206	54	53
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	3	4	118	205	139	253	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	3	4	118	205	139	253	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	10	10	16	305	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	3	4	118	205	139	253	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	10	10	16	305	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	20	75	4	116	55	112	136	192	66	149	56	83	251	307	4	116	56	112	136	191	3	59	55	56	208	233	32	58	25	26	93	118	121	147	25	26	208	233	122	148	25	26	136	191	154	178	55	24	251	306	123	179	55	56	20	75	121	178	55	57
Druid	320	640	0	441	10	6	339	628	212	385	29	29	340	395	28	140	55	112	453	509	77	159	56	82	562	617	28	140	55	112	456	510	8	59	54	51	526	549	36	60	23	24	416	439	180	204	23	24	530	553	180	204	23	24	457	509	179	204	52	25	572	628	155	205	54	52	341	395	153	206	54	53
