Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	bow		farw	75	Blessed Aim	1	10	0	1	10	Fire Arrow	4	50	0	1	10	Exploding Arrow	4	25	0	1	10																			2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	100	221	13	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		farw	75	Blessed Aim	1	10	0	6	10	Fire Arrow	4	50	0	6	10	Exploding Arrow	4	25	0	6	10																			2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	100	533	25	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		farw	75	Blessed Aim	1	10	0	12	0	Fire Arrow	4	50	0	12	0	Exploding Arrow	4	25	0	12	0																			2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	bow		carw	75	Blessed Aim	1	10	0	1	10	Cold Arrow	4	50	0	1	10	Ice Arrow	4	25	0	1	10																			2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	221	12	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		carw	75	Blessed Aim	1	10	0	6	10	Cold Arrow	4	50	0	6	10	Ice Arrow	4	25	0	6	10																			2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	509	16	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		carw	75	Blessed Aim	1	10	0	12	0	Cold Arrow	4	50	0	12	0	Ice Arrow	4	25	0	12	0																			2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		farw	75	Blessed Aim	1	10	0	6	10	Fire Arrow	4	50	0	6	10	Exploding Arrow	4	25	0	6	10																			2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		farw	75	Blessed Aim	1	10	0	12	0	Fire Arrow	4	50	0	12	0	Exploding Arrow	4	25	0	12	0																			2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		carw	75	Blessed Aim	1	10	0	6	10	Cold Arrow	4	50	0	6	10	Ice Arrow	4	25	0	6	10																			2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		carw	75	Blessed Aim	1	10	0	12	0	Cold Arrow	4	50	0	12	0	Ice Arrow	4	25	0	12	0																			2	1	2	0
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		farw	75	Blessed Aim	1	10	0	12	0	Fire Arrow	4	50	0	12	0	Exploding Arrow	4	25	0	12	0																			2	1	2	0
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		carw	75	Blessed Aim	1	10	0	12	0	Cold Arrow	4	50	0	12	0	Ice Arrow	4	25	0	12	0																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		farw	75	Blessed Aim	1	10	0	1	10	Fire Arrow	4	50	0	1	10	Exploding Arrow	4	25	0	1	10																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	100	100	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		farw	75	Blessed Aim	1	10	0	9	10	Fire Arrow	4	50	0	9	10	Exploding Arrow	4	25	0	9	10																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	100	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		farw	75	Blessed Aim	1	10	0	17	0	Fire Arrow	4	50	0	17	0	Exploding Arrow	4	25	0	17	0																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	105	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		carw	75	Blessed Aim	1	10	0	1	10	Cold Arrow	4	50	0	1	10	Ice Arrow	4	25	0	1	10																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	105	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		carw	75	Blessed Aim	1	10	0	9	10	Cold Arrow	4	50	0	9	10	Ice Arrow	4	25	0	9	10																			2	1	2	0
