Prop	Par	Min	Max	PropParType	ScoreMin	ScoreMax	ScoreLim	MinLvl	MaxLvl	LvlScale	NoTypeOvr	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Group	SynergyGroup	SourceItem	SourceFile	eol
abs-cold	0	5	25	r=	10	50															3		Snowclash	UniqueItems	0
abs-cold/lvl	5	0	0	lvl		30															3		Blackoak Shield	UniqueItems	0
abs-cold%	0	5	30	r=	10	60															3		Raven Frost	UniqueItems	0
abs-fire	0	5	21	r=	10	42															3		Todesfaelle Flamme	UniqueItems	0
abs-fire/lvl	6	0	0	lvl		37															3		The Rising Sun	UniqueItems	0
abs-fire%	0	5	30	r=	10	60															3		Dwarf Star	UniqueItems	0
abs-ltng	0	5	25	r=	10	50															3		Blackhorn's Face	UniqueItems	0
abs-ltng%	0	5	30	r=	10	60															3		Lightsabre	UniqueItems	0
abs-ltng/lvl	5	0	0	lvl		40															3		RandomizeAdd5		0
abs-mag	0	3	15	r=	3	15															3		Crescent Moon	Runes	0
abs-mag/lvl	5	0	0	lvl		40															3		RandomizeAdd6		0
abs-mag%	0	5	30	r=	10	60															3		RandomizeAdd7		0
ac	0	-10	-1	c	-2	-1						armo	weap								101	ac	Dimoaks Hew	UniqueItems	0
ac	0	6	350	r=	2	105	10		55			weap						aspe			101	ac	Bladebone	UniqueItems	0
ac	0	6	600	r=	1	30	7					bow	xbow								101	ac	Bows	Hand Edit	0
ac	0	6	600	r=	1	30	7					pole	staf	aspe	spea	1ax	bax				101	ac	2handers	Hand Edit	0
ac	0	6	600	r=	1	30	7					btx	gax	gix	91a	9ba	9bt				101	ac	2handers	Hand Edit	0
ac	0	6	600	r=	1	30	7					9ga	9gi	71a	7ba	7bt	7ga				101	ac	2handers	Hand Edit	0
ac	0	6	600	r=	1	30	7					7gi	mau	gma	9m9	7m7	7gm				101	ac	2handers	Hand Edit	0
ac	0	6	600	r=	2	90	10					fset	armo	amu							101	ac	Bladebone	UniqueItems	0
ac	0	600	800	r=	60	80	15	50										weap			101	ac	Enigma	Runes	0
ac-hth	0	40	200	r=	2	10	5														101		Darkglow	UniqueItems	0
ac-miss	0	10	400	r=	1	20	5														101		Coif of Glory	UniqueItems	0
ac/lvl	40	0	0	lvl		30	10											weap	amu	rin	101	ac	Swordguard	UniqueItems	0
ac%	0	10	150	r=	1	80	5					weap	amu	rin							101	ac	Duskdeep	UniqueItems	0
ac%	0	10	375	r=	1	38	10			Y								weap	amu	rin	101	ac	Duskdeep	UniqueItems	0
addxp	0	5	10	r=	50	100						cm1	rod								200		Annihilus	UniqueItems	0
all-stats	0	3	30	r=	36	360															16		Azurewrath	UniqueItems	0
allskills		1	6	r	100	2100	20											rin			125	skills	Mang Song's Lesson	UniqueItems	0
allskills		1	6	r	50	1050						rin									125	skills	Mang Song's Lesson	UniqueItems	0
ama		1	3	r	35	210												ama			125	skills	M'avina's Battle Hymn	Sets	0
